3697539,MasterCard,738822670124002,26-Jul,787 Mcguire Court,Laval,Quebec,H6L 5W3
1547341,Visa,7822030864636660,22-May,1 Eagle Crest Avenue,Laval,Quebec,H8S 6A3
3880545,Amex,3526510743184620,22-Dec,16491 Merchant Hill,Montreal,Quebec,H4Z 2Y4
5180631,Visa,3804842311586930,19-Mar,24585 Shelley Street,Montreal,Quebec,H6O 0C3
6209197,Visa,675530576959684,22-Feb,90 Morningstar Alley,Montreal,Quebec,H6H 3U8
5954403,Amex,4412533033818600,25-May,0 Tomscot Trail,Montreal,Quebec,H1Y 4Z6
6843052,MasterCard,3701189515074660,24-Apr,25 Gina Alley,Montreal,Quebec,H3Q 3X5
9477486,Visa,3409860504374,18-Jan,82 Clarendon Crossing,Montreal,Quebec,H5S 9P7
7819660,MasterCard,2091542046467270,17-Dec,54946 7th Alley,Montreal,Quebec,H9I 6S0
1624872,Visa,8649507611808580,18-Nov,2406 Hansons Alley,Laval,Quebec,H7I 8O9
5787412,Visa,4566485486752200,22-Mar,7457 Melvin Parkway,Montreal,Quebec,H0E 3C5
7518538,Visa,3522035620105930,25-Jan,272 Portage Drive,Laval,Quebec,H9U 6J9
4013121,Amex,3608817698475080,23-Oct,66913 Hovde Parkway,Laval,Quebec,H7L 3I5
2074518,Visa,2945422252203610,17-Nov,32 Harbort Circle,Montreal,Quebec,H2C 3S6
1196741,Visa,4104285493118460,24-Apr,01 Sycamore Avenue,Montreal,Quebec,H2W 1Q0
5106445,Amex,1899256607916080,21-Nov,2697 Wayridge Avenue,Montreal,Quebec,H9M 9H9
3406306,MasterCard,4637659547331620,21-Oct,01904 Meadow Ridge Way,Montreal,Quebec,H5Y 3P2
8586325,MasterCard,8907578339720610,19-Jul,581 Ryan Pass,Montreal,Quebec,H7S 7K1
1116857,Visa,9087955819047260,23-Nov,4482 Waxwing Crossing,Montreal,Quebec,H8G 2D5
4202468,Amex,5721963719211170,20-Sep,6696 Packers Parkway,Laval,Quebec,H9I 6L2
3793058,Amex,4291207669513480,18-May,2660 Sauthoff Crossing,Montreal,Quebec,H8U 9H8
4135731,Visa,833653721165545,24-Sep,244 Erie Trail,Montreal,Quebec,H7E 8I4
8579789,MasterCard,7062756643773780,23-Feb,62259 Meadow Vale Plaza,Montreal,Quebec,H1I 2B2
7315347,Amex,1219191646044520,26-Jan,8703 Reinke Lane,Montreal,Quebec,H7Q 9C0
5583668,MasterCard,772077766581695,20-Aug,5693 Mccormick Pass,Montreal,Quebec,H1R 3N5
3833927,MasterCard,6461706277387620,23-Dec,660 Kenwood Junction,Laval,Quebec,H4O 7I5
